Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
241346,MAYO CLINIC HEALTH SYSTEM - CANNON FALLS,32021 COUNTY 24 BOULEVARD,CANNON FALLS,MN,55009,GOODHUE,(507) 263-6000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Above the national average,,Not Available,5,POINT (-92.90325 44.4859)
050769,HOAG ORTHOPEDIC INSTITUTE,16250 SAND CANYON AVENUE,IRVINE,CA,92618,ORANGE,(949) 727-5000,Acute Care Hospitals,Proprietary,No,Y,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Above the national average,,Not Available,5,Not Available,16,Not Available,16,POINT (-117.774478 33.66095)
294009,MONTEVISTA HOSPITAL,5900 WEST ROCHELLE AVENUE,LAS VEGAS,NV,89103,CLARK,(702) 364-1111,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-115.222091 36.110963)
063301,CHILDREN'S HOSPITAL COLORADO,13123 E 16TH AVE,AURORA,CO,80045,ADAMS,(720) 777-1234,Childrens,Voluntary non-profit - Private,Yes,,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,POINT (-104.83501800000002 39.741635)
444025,CRESTWYN BEHAVIORAL HEALTH,9485 CRESTWYN HILLS COVE,MEMPHIS,TN,38125,SHELBY,(901) 457-5667,Psychiatric,Proprietary,Yes,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-89.746423 35.042218)
310130,HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,250 OLD HOOK ROAD,WESTWOOD,NJ,07675,BERGEN,(201) 383-1035,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,POINT (-74.014195 40.983658)
181309,CASEY COUNTY HOSPITAL,187 WOLFORD AVENUE,LIBERTY,KY,42539,CASEY,(606) 787-6275,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,4,,Same as the national average,,Not Available,16,Below the national average,,Above the national average,,Not Available,5,Above the national average,,Not Available,5,POINT (-84.931717 37.317809)
101310,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPU,922 E CALL ST,STARKE,FL,32091,BRADFORD,(904) 368-2300,Critical Access Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Not Available,5,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-82.10165 29.941907000000004)
220020,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,02721,BRISTOL,(508) 674-5600,Acute Care Hospitals,Proprietary,Yes,,3,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-71.163642 41.693321)
200033,EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,ME,04401,PENOBSCOT,(207) 973-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
290008,NORTHEASTERN NEVADA REGIONAL HOSPITAL,2001 ERRECART BLVD,ELKO,NV,89801,ELKO,(775) 738-5151,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-115.72902600000002 40.822508)
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 S 4TH AVE,MARSHALLTOWN,IA,50158,MARSHALL,(641) 754-5151,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-92.905914 42.04805)
520196,OAKLEAF SURGICAL HOSPITAL,1000 OAKLEAF WAY,ALTOONA,WI,54720,EAU CLAIRE,(715) 831-8130,Acute Care Hospitals,Physician,No,Y,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Above the national average,,Same as the national average,,Not Available,16,Not Available,16,POINT (-91.451764 44.815002)
141325,OSF SAINT LUKES MEDICAL CENTER,1051 WEST SOUTH STREET,KEWANEE,IL,61443,HENRY,(309) 853-3361,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,4,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Same as the national average,,Above the national average,,Same as the national average,,POINT (-89.947769 41.222163)
021310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARTIC BOROUGH,(907) 442-3321,Critical Access Hospitals,Tribal,Yes,,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,
194109,"COMPASS BEHAVIORAL CENTER OF HOUMA, LLC",4701 WEST PARK AVENUE,HOUMA,LA,70364,TERREBONNE,(985) 876-1715,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-90.77179 29.664624999999997)
530012,WYOMING MEDICAL CENTER,1233 EAST 2ND ST,CASPER,WY,82601,NATRONA,(307) 577-7201,Acute Care Hospitals,Government - Local,Yes,Y,2,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,POINT (-106.308753 42.848718)
334052,BUFFALO PSYCHIATRIC CENTER,400 FOREST AVE,BUFFALO,NY,14213,ERIE,(716) 885-2261,Psychiatric,Government - State,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-78.883286 42.927823)
521321,RIPON MEDICAL CENTER,845 PARKSIDE ST,RIPON,WI,54971,FOND DU LAC,(920) 748-3101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Not Available,5,Not Available,5,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,5,POINT (-88.817692 43.835451)
431307,SANFORD CLEAR LAKE MEDICAL CENTER,701 THIRD AVENUE SOUTH,CLEAR LAKE,SD,57226,DEUEL,(605) 874-2141,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,16,Not Available,16,POINT (-96.68256 44.752678)
450518,THE MEDICAL CENTER OF SOUTHEAST TEXAS,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,TX,77640,JEFFERSON,(409) 853-5900,Acute Care Hospitals,Physician,Yes,Y,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,POINT (-93.985007 29.934951999999996)
440200,STONES RIVER HOSPITAL,324 DOOLITTLE ROAD,WOODBURY,TN,37190,CANNON,(615) 563-4001,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Not Available,5,Same as the national average,,Not Available,16,Not Available,5,Above the national average,,Not Available,16,POINT (-86.072943 35.832865)
060008,SAN LUIS VALLEY HEALTH,106 BLANCA AVE,ALAMOSA,CO,81101,ALAMOSA,(719) 589-2511,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,POINT (-105.883712 37.47236)
061300,WEISBROD MEMORIAL COUNTY HOSPITAL,1208 LUTHER STREET,EADS,CO,81036,KIOWA,(719) 438-5401,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Same as the national average,,Not Available,16,POINT (-102.784468 38.48019800000001)
400014,BELLA VISTA HOSPITAL,CARR 349 KM 2 7 CERRO LAS MESAS,MAYAGUEZ,PR,00681,MAYAGUEZ,(787) 652-6045,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,16,Not Available,5,Not Available,5,Same as the national average,,Not Available,16,Not Available,5,Not Available,5,Not Available,16,
140077,TOUCHETTE REGIONAL HOSPITAL INC,5900 BOND AVENUE,CENTREVILLE,IL,62207,ST. CLAIR,(618) 332-3060,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,Not Available,5,Not Available,5,Same as the national average,,Not Available,16,Same as the national average,,Same as the national average,,Not Available,16,POINT (-90.10767 38.571324)
180050,HARLAN ARH HOSPITAL,81 BALL PARK ROAD,HARLAN,KY,40831,HARLAN,(606) 573-8100,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-83.313105 36.810183)
040004,WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 463-5113,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-94.15786200000001 36.110984)
041317,DALLAS COUNTY MEDICAL CENTER,201 CLIFTON STREET,FORDYCE,AR,71742,DALLAS,(870) 352-6300,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Above the national average,,Not Available,5,POINT (-92.42505800000002 33.811158)
220077,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,MA,01199,HAMPDEN,(413) 794-0000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,POINT (-72.605956 42.121712)
251302,MONROE REGIONAL HOSPITAL,400 SOUTH CHESTNUT STREET,ABERDEEN,MS,39730,MONROE,(662) 369-2455,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,Not Available,5,Not Available,16,Same as the national average,,Not Available,16,Not Available,16,Not Available,16,Same as the national average,,POINT (-88.541059 33.819942)
110044,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,31719,SUMTER,(229) 931-1280,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Not Available,5,POINT (-84.255376 32.06425)
381310,PIONEER MEMORIAL HOSPITAL (HEPPNER),564 E PIONEER DRIVE,HEPPNER,OR,97836,MORROW,(541) 676-9133,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,5,Not Available,5,POINT (-119.54763000000001 45.356268)
440120,PHYSICIANS REGIONAL MEDICAL CENTER,7565 DANNAHER WAY POWELL,POWELL,TN,37849,KNOX,(865) 545-8000,Acute Care Hospitals,Proprietary,Yes,,3,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,POINT (-83.99659200000002 36.05333)
271314,DEER LODGE MEDICAL CENTER - CAH,1100 HOLLENBACK LN,DEER LODGE,MT,59722,POWELL,(406) 846-2212,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Above the national average,,Not Available,5,POINT (-112.72633 46.412634)
390050,ALLEGHENY GENERAL HOSPITAL,320 EAST NORTH AVENUE,PITTSBURGH,PA,15212,ALLEGHENY,(412) 359-3131,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-80.003249 40.456149)
150166,PINNACLE HOSPITAL,9301 CONNECTICUT DR,CROWN POINT,IN,46307,LAKE,(219) 756-2100,Acute Care Hospitals,Physician,No,,4,,Same as the national average,,Not Available,5,Same as the national average,,Above the national average,,Not Available,5,Not Available,16,Not Available,5,POINT (-87.330069 41.449118)
370240,INTEGRIS COMMUNITY HOSPITAL - COUNCIL CROSSING,9417 N COUNCIL ROAD,OKLAHOMA CITY,OK,73162,OKLAHOMA,(405) 550-3280,Acute Care Hospitals,Proprietary,Yes,,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,POINT (-97.656257 35.565352)
251329,GREENE COUNTY HOSPITAL CAH,1017 JACKSON STREET,LEAKESVILLE,MS,39451,GREENE,(601) 394-4135,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,16,Not Available,5,POINT (-88.562645 31.154763999999997)
450605,CARE REGIONAL MEDICAL CENTER,1711 W WHEELER AVENUE,ARANSAS PASS,TX,78336,SAN PATRICIO,(361) 758-8585,Acute Care Hospitals,Proprietary,Yes,,4,,Same as the national average,,Not Available,5,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,16,POINT (-97.16182900000001 27.915921)
374024,SHADOW MOUNTAIN BEHAVIORAL HEALTH SYSTEM,6262 SOUTH SHERIDAN ROAD,TULSA,OK,74133,TULSA,(918) 492-8200,Psychiatric,Proprietary,Yes,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-95.904308 36.072662)
241328,SANFORD BAGLEY MEDICAL CENTER,203 4TH STREET NORTHWEST,BAGLEY,MN,56621,CLEARWATER,(218) 694-6501,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Above the national average,,Not Available,5,POINT (-95.401676 47.525837)
330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,5,POINT (-73.917648 40.704699)
231311,DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,DECKERVILLE,MI,48427,SANILAC,(810) 376-2835,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Same as the national average,,Not Available,16,POINT (-82.733773 43.528161)
670099,EMIL J FREIREICH CANCER CENTER,9201 PINECROFT,SHENANDOAH,TX,77380,MONTGOMERY,(855) 353-2201,Acute Care Hospitals,Proprietary,Yes,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-95.456299 30.174833)
511311,HAMPSHIRE MEMORIAL HOSPITAL,363 SUNRISE BOULEVARD,ROMNEY,WV,26757,HAMPSHIRE,(304) 822-4561,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Above the national average,,Same as the national average,,POINT (-78.69991300000001 39.332057)
231325,MIDMICHIGAN MEDICAL CENTER-GLADWIN,515 QUARTER STREET,GLADWIN,MI,48624,GLADWIN,(989) 426-9286,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,16,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-84.495354 43.975731)
281342,CHI HEALTH ST. MARY'S,1301 GRUNDMAN BLVD,NEBRASKA CITY,NE,68410,OTOE,(402) 873-3321,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,3,,Not Available,5,Not Available,5,Same as the national average,,Not Available,16,Same as the national average,,Above the national average,,Same as the national average,,POINT (-95.862109 40.658152)
191321,LALLIE KEMP MEDICAL CENTER,52579 HIGHWAY 51 SOUTH,INDEPENDENCE,LA,70443,TANGIPAHOA,(985) 878-9421,Critical Access Hospitals,Government - State,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Below the national average,,Above the national average,,Not Available,5,POINT (-90.496999 30.622194000000004)
360096,EAST LIVERPOOL CITY HOSPITAL,425 WEST 5TH STREET,EAST LIVERPOOL,OH,43920,COLUMBIANA,(330) 385-7200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-80.586218 40.621409)
144029,"PAVILION FOUNDATION, THE",809 W CHURCH ST,CHAMPAIGN,IL,61820,CHAMPAIGN,(217) 373-1700,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-88.257263 40.11826)
501320,QUINCY VALLEY MEDICAL CENTER,908 10TH AVENUE SOUTHWEST,QUINCY,WA,98848,GRANT,(509) 787-3531,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Same as the national average,,Not Available,5,POINT (-119.869181 47.230954)
264024,LAKELAND BEHAVIORAL HEALTH SYSTEM,440 S MARKET,SPRINGFIELD,MO,65806,GREENE,(417) 865-5581,Psychiatric,Proprietary,Yes,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-93.29556 37.205988)
171346,PATTERSON HEALTH CENTER,485 N. KS HWY 2,ANTHONY,KS,67003,HARPER,(620) 842-5111,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Not Available,5,Not Available,16,Below the national average,,Not Available,16,Not Available,5,Above the national average,,Same as the national average,,POINT (-98.03932300000001 37.156336)
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-94.511799 37.034697)
341314,WASHINGTON COUNTY HOSP INC,958 US HWY 64 EAST,PLYMOUTH,NC,27962,WASHINGTON,(252) 793-4135,Critical Access Hospitals,Proprietary,Yes,,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,16,Not Available,5,POINT (-76.755838 35.847984)
360032,GRAND LAKE HEALTH SYSTEM,200 SAINT CLAIR STREET,SAINT MARYS,OH,45885,AUGLAIZE,(419) 394-3335,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-84.369836 40.545139)
531312,CODY REGIONAL HEALTH,707 SHERIDAN AVENUE,CODY,WY,82414,PARK,(307) 578-2488,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Not Available,5,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-109.073576 44.526071)
160089,OTTUMWA REGIONAL HEALTH CENTER,1001 E PENNSYLVANIA,OTTUMWA,IA,52501,WAPELLO,(641) 682-7511,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
331307,CLIFTON FINE HOSPITAL,1014 OSWEGATCHIE TRAIL,STAR LAKE,NY,13690,ST. LAWRENCE,(315) 848-3351,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,POINT (-75.055964 44.162953)
340116,FRYE REGIONAL MEDICAL CENTER,420 N CENTER ST,HICKORY,NC,28601,CATAWBA,(828) 322-6070,Acute Care Hospitals,Proprietary,Yes,Y,2,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-81.337778 35.737175)
100320,POINCIANA MEDICAL CENTER,325 CYPRESS PKWY,KISSIMMEE,FL,34758,OSCEOLA,(407) 530-2000,Acute Care Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,5,POINT (-81.472985 28.142723)
241361,MAYO CLINIC HEALTH SYSTEM-NEW PRAGUE,301 2ND STREET NORTHEAST,NEW PRAGUE,MN,56071,SCOTT,(952) 758-4431,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Not Available,5,Not Available,5,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-93.574903 44.545926)
310047,SHORE MEDICAL CENTER,100 MEDICAL CENTER WAY,SOMERS POINT,NJ,08244,ATLANTIC,(609) 653-3500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-74.592772 39.314673)
450034,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,2830 CALDER AVENUE,BEAUMONT,TX,77702,JEFFERSON,(409) 892-7171,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-94.131702 30.085583)
330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,POINT (-73.417488 40.879201)
290047,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,9300 WEST SUNSET RD,LAS VEGAS,NV,89148,CLARK,(702) 880-2100,Acute Care Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Above the national average,,POINT (-115.29551199999999 36.070256)
250077,WAYNE GENERAL HOSPITAL,950 MATTHEW DR,WAYNESBORO,MS,39367,WAYNE,(601) 735-5151,Acute Care Hospitals,Government - Local,Yes,Y,3,,Same as the national average,,Not Available,5,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-88.633312 31.673601000000005)
670108,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,810 W HIGHWAY 71,MARBLE FALLS,TX,78654,BURNET,(830) 201-7308,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-97.359381 30.110740000000003)
141320,PARIS COMMUNITY HOSPITAL,721 E COURT STREET,PARIS,IL,61944,EDGAR,(217) 465-4141,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,5,Same as the national average,,Above the national average,,Not Available,5,Above the national average,,Same as the national average,,POINT (-87.678311 39.606712)
351308,NELSON COUNTY HEALTH SYSTEM,200 N MAIN ST,MCVILLE,ND,58254,NELSON,(701) 322-4328,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Same as the national average,,Not Available,16,POINT (-98.177314 47.765626)
141341,PANA COMMUNITY HOSPITAL,101 E NINTH STREET,PANA,IL,62557,CHRISTIAN,(217) 562-2131,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,16,Not Available,16,Same as the national average,,POINT (-89.084213 39.380296)
050017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,SACRAMENTO,(916) 453-4453,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,POINT (-121.45248199999999 38.569385)
290032,NORTHERN NEVADA MEDICAL CENTER,2375 E PRATER WAY,SPARKS,NV,89434,WASHOE,(775) 331-7000,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-119.69797400000002 39.542488)
154009,HAMILTON CENTER INC,620 8TH AVE,TERRE HAUTE,IN,47804,VIGO,(812) 231-8285,Psychiatric,Voluntary non-profit - Private,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-87.409793 39.484793)
181327,MARSHALL COUNTY HOSPITAL,615 OLD SYMSONIA ROAD,BENTON,KY,42025,MARSHALL,(270) 527-4800,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,4,,Same as the national average,,Not Available,16,Below the national average,,Above the national average,,Not Available,5,Above the national average,,Same as the national average,,POINT (-88.368072 36.868182)
453301,DRISCOLL CHILDRENS HOSPITAL,3533 S ALAMEDA BOX 6530,CORPUS CHRISTI,TX,78411,NUECES,(361) 739-4846,Childrens,Voluntary non-profit - Private,Yes,,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,
390156,MERCY CATHOLIC MEDICAL CENTER- MERCY FITZGERALD,1500 LANSDOWNE  AVE,DARBY,PA,19023,DELAWARE,(215) 237-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-75.267031 39.924718)
220126,NORWOOD HOSPITAL,800 WASHINGTON STREET,NORWOOD,MA,02062,NORFOLK,(781) 769-4000,Acute Care Hospitals,Proprietary,Yes,,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-71.20264 42.189462)
461309,KANE COUNTY HOSPITAL,355 NORTH MAIN STREET,KANAB,UT,84741,KANE,(435) 644-5811,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,5,Not Available,5,POINT (-112.52859 37.054324)
390065,GETTYSBURG HOSPITAL,147 GETTYS STREET,GETTYSBURG,PA,17325,ADAMS,(717) 334-2121,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,POINT (-77.234044 39.823317)
320017,LOVELACE WOMEN'S HOSPITAL,4701 MONTGOMERY BOULEVARD NE,ALBUQUERQUE,NM,87109,BERNALILLO,(505) 727-7805,Acute Care Hospitals,Government - State,Yes,Y,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-106.591037 35.131005)
